asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B0991J62ZY,"Samsung Galaxy A12 (32GB, 3GB) 6.5&quot; HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&amp;T Unlocked for T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",85.99,85.99,3.8,1684,29,74.74,False,False,False,True,1000,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 15 left in stock - order soon.",True
B0BDP9S53V,SAMSUNG S21 FE 128GB GRAY TMOBILE (Renewed),169.99,188.0,4.0,131,19,162.82,False,False,False,False,50,FREE delivery,True
B07T1LXD8P,"Apple iPhone XR, Fully Unlocked, 64 GB - Black (Renewed)",187.0,187.0,4.3,383,8,169.99,False,False,False,True,500,"FREE delivery Tomorrow, Sep 20",False
B0CQ5C2274,"Samsung Galaxy A15 (SM-A155F/DSN), 128GB 4GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Blue Black)",142.49,142.49,4.1,1686,6,99.5,False,False,True,False,400,"FREE delivery Tue, Sep 24",False
B0CSGK59ZB,"Panasonic Corded/Cordless Phone with Advanced Call Block, 2-Way Recording and Digital Answering Machine, 2 Handsets Expandable up to 6 Cordless Handsets - KX-TGF852B (Black)",99.99,99.99,4.4,131,4,74.99,False,False,True,False,600,"FREE delivery Tue, Sep 24",False
B07C4WX72D,"VTech SN5147 Amplified Corded/Cordless Senior Phone with Answering Machine, Call Blocking, 90dB Extra-loud Visual Ringer, One-touch Audio Assist on Handset up to 50dB, White",63.98,109.95,4.0,6350,23,29.95,False,False,False,False,1000,FREE deliveryOnly 10 left in stock - order soon.,False
B09Z8P34NM,"SAMSUNG Galaxy A13 LTE, Factory Unlocked Smartphone, Android Cell Phone, Water Resistant, 50MP Camera, US Version, 32GB, Black (Renewed)",89.55,89.55,4.0,557,26,81.4,False,False,False,False,1000,FREE delivery Sep 20 - 23 Only 1 left in stock - order soon.,False
B0CYQ916ZY,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",399.0,499.0,4.2,400,2,383.04,False,False,True,True,1000,"FREE delivery Tue, Sep 24",True
B07WRDT6DS,"Motorola O212 DECT 6.0 Long Range Cordless Phone - Wireless Phones for Home &amp; Office Phone with Answering Machine - Indoors and Outdoors, Water &amp; Dust Resistant, IP67 Certified - Black, 2 Handsets",129.95,129.95,4.0,501,1,129.95,False,False,True,False,100,"FREE delivery Tue, Sep 24",False
B0CRFB8HW4,"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7&quot; Dual SIM Fully Unlocked Global 4G LTE A055M/DS (Black)",111.07,119.99,4.0,101,10,94.76,False,False,True,False,500,"FREE delivery Wed, Sep 25",True
B09D2ZJLLV,Panasonic KX-TG994 DECT 6.0 Bluetooth 4-Handset Phone Bundle,89.97,89.97,4.4,382,14,79.0,False,False,True,False,700,"FREE delivery Tue, Sep 24",False
B0BZG31S2R,"Panasonic Cordless Phone with Answering Machine, Link2Cell Bluetooth, Voice Assistant and Advanced Call Blocking, Expandable System with 4 Handsets - KX-TGD864W (White)",99.99,119.99,4.4,1332,7,46.2,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B0CMDRFVTL,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet",859.99,859.99,4.4,424,2,724.02,False,False,True,True,100,"FREE delivery Tue, Sep 24",True
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,49.99,49.99,4.3,49,1,49.99,False,False,True,False,500,"FREE delivery Tue, Sep 24",False
